C:\Users\LydoSr\anaconda3\envs\multimod\Lib\site-packages\transformers\tokenization_utils_base.py:1601: FutureWarning: `clean_up_tokenization_spaces` was not set. It will be set to `True` by default. This behavior will be depracted in transformers v4.45, and will be then set to `False` by default. For more details check this issue: https://github.com/huggingface/transformers/issues/31884
  warnings.warn(
2024-09-25 02:50:28,665 - INFO - Loaded audio embeddings from embeddings/audio_embeddings.pt.
2024-09-25 02:51:43,058 - INFO - Loaded transcriptions from E:\Ted\Text Chunks.
2024-09-25 02:51:43,177 - INFO - Loaded 123493 samples from the dataset.
c:\Users\LydoSr\Desktop\multimodal-llm\train.py:63: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler()  # For mixed precision
Epoch 1/3
c:\Users\LydoSr\Desktop\multimodal-llm\train.py:75: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast():
C:\Users\LydoSr\anaconda3\envs\multimod\Lib\site-packages\transformers\models\gpt2\modeling_gpt2.py:544: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\cb\pytorch_1000000000000\work\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  attn_output = torch.nn.functional.scaled_dot_product_attention(
  Batch 824 Loss: 5.8647
  Batch 828 Loss: 5.1182
  Batch 832 Loss: 5.2704
  Batch 836 Loss: 5.9118
  Batch 840 Loss: 5.8307
  Batch 844 Loss: 5.2084
  Batch 848 Loss: 5.0675
  Batch 852 Loss: 5.2939
  Batch 856 Loss: 4.9960
  Batch 860 Loss: 5.9447
  Batch 864 Loss: 5.3653
  Batch 868 Loss: 5.3589
  Batch 872 Loss: 5.0617
  Batch 876 Loss: 5.6514
  Batch 880 Loss: 5.3130
  Batch 884 Loss: 5.0518
  Batch 888 Loss: 5.1693
  Batch 892 Loss: 4.9334
  Batch 896 Loss: 4.8309
  Batch 900 Loss: 4.9578
  Batch 904 Loss: 5.9176
  Batch 908 Loss: 5.7573
  Batch 912 Loss: 5.4177
  Batch 916 Loss: 4.6630
  Batch 920 Loss: 5.6272
  Batch 924 Loss: 4.9338
  Batch 928 Loss: 4.8498
  Batch 932 Loss: 5.1191
  Batch 936 Loss: 5.0421
  Batch 940 Loss: 4.9220
  Batch 944 Loss: 4.9546
  Batch 948 Loss: 5.6124
  Batch 952 Loss: 5.4940
  Batch 956 Loss: 4.9333
  Batch 960 Loss: 5.5171
  Batch 964 Loss: 5.7167
  Batch 968 Loss: 5.1667
  Batch 972 Loss: 4.9936
  Batch 976 Loss: 5.1257
  Batch 980 Loss: 4.5039
  Batch 984 Loss: 4.9368
  Batch 988 Loss: 4.3436
  Batch 992 Loss: 4.3485
  Batch 996 Loss: 5.2631
  Batch 1000 Loss: 4.8213
  Batch 1004 Loss: 4.8999
  Batch 1008 Loss: 4.9477
  Batch 1012 Loss: 4.9809
  Batch 1016 Loss: 5.0074
  Batch 1020 Loss: 5.3306
  Batch 1024 Loss: 5.4423
  Batch 1028 Loss: 4.8599
  Batch 1032 Loss: 4.5779
  Batch 1036 Loss: 4.5140
  Batch 1040 Loss: 4.6190
  Batch 1044 Loss: 5.1539
  Batch 1048 Loss: 4.9241
  Batch 1052 Loss: 4.5885
  Batch 1056 Loss: 4.3913
  Batch 1060 Loss: 4.7468
  Batch 1064 Loss: 4.1315
  Batch 1068 Loss: 4.8438
  Batch 1072 Loss: 4.9940
  Batch 1076 Loss: 5.3731
  Batch 1080 Loss: 4.6522
  Batch 1084 Loss: 4.7120
  Batch 1088 Loss: 4.8001
  Batch 1092 Loss: 4.3905
  Batch 1096 Loss: 4.5401
  Batch 1100 Loss: 4.6284
  Batch 1104 Loss: 4.2507
  Batch 1108 Loss: 3.9678
  Batch 1112 Loss: 4.5630
  Batch 1116 Loss: 5.1127
  Batch 1120 Loss: 4.1803
  Batch 1124 Loss: 4.6666
  Batch 1128 Loss: 4.6973
  Batch 1132 Loss: 4.9135
  Batch 1136 Loss: 4.7537
  Batch 1140 Loss: 4.0412
  Batch 1144 Loss: 4.9990
  Batch 1148 Loss: 4.5928
  Batch 1152 Loss: 4.8759
  Batch 1156 Loss: 4.2071
  Batch 1160 Loss: 4.9549
  Batch 1164 Loss: 4.3257
  Batch 1168 Loss: 4.0842
  Batch 1172 Loss: 4.1798
  Batch 1176 Loss: 3.8496
  Batch 1180 Loss: 3.9995
  Batch 1184 Loss: 4.2332
  Batch 1188 Loss: 4.0847
  Batch 1192 Loss: 4.7106
  Batch 1196 Loss: 4.1322
  Batch 1200 Loss: 4.5789
  Batch 1204 Loss: 4.5172
  Batch 1208 Loss: 4.1737
  Batch 1212 Loss: 4.1775
  Batch 1216 Loss: 4.3994
  Batch 1220 Loss: 4.2582
  Batch 1224 Loss: 4.3527
  Batch 1228 Loss: 4.6506
  Batch 1232 Loss: 4.6392
  Batch 1236 Loss: 4.0157
  Batch 1240 Loss: 4.3123
  Batch 1244 Loss: 4.9040
  Batch 1248 Loss: 4.1544
  Batch 1252 Loss: 4.4008
  Batch 1256 Loss: 4.5256
  Batch 1260 Loss: 4.7516
  Batch 1264 Loss: 4.8633
  Batch 1268 Loss: 4.2411
  Batch 1272 Loss: 4.7456
  Batch 1276 Loss: 4.2430
  Batch 1280 Loss: 4.1561
  Batch 1284 Loss: 4.8659
  Batch 1288 Loss: 4.9960
  Batch 1292 Loss: 4.3482
  Batch 1296 Loss: 4.7771
  Batch 1300 Loss: 4.1286
  Batch 1304 Loss: 3.8776
  Batch 1308 Loss: 4.1063
  Batch 1312 Loss: 4.2028
  Batch 1316 Loss: 4.4759
  Batch 1320 Loss: 3.9544
  Batch 1324 Loss: 4.2836
  Batch 1328 Loss: 4.5797
  Batch 1332 Loss: 3.8892
  Batch 1336 Loss: 3.9969
  Batch 1340 Loss: 4.1472
  Batch 1344 Loss: 4.0299
  Batch 1348 Loss: 4.6490
  Batch 1352 Loss: 4.2983
  Batch 1356 Loss: 4.5526
  Batch 1360 Loss: 4.9189
  Batch 1364 Loss: 4.5227
  Batch 1368 Loss: 4.0398
  Batch 1372 Loss: 4.2775
  Batch 1376 Loss: 4.4739
  Batch 1380 Loss: 4.0785
  Batch 1384 Loss: 4.3297
  Batch 1388 Loss: 3.7246
  Batch 1392 Loss: 3.8793
  Batch 1396 Loss: 4.7123
  Batch 1400 Loss: 4.5802
  Batch 1404 Loss: 3.6114
  Batch 1408 Loss: 4.5227
  Batch 1412 Loss: 4.2661
  Batch 1416 Loss: 4.0811
  Batch 1420 Loss: 4.2420
  Batch 1424 Loss: 3.8241
  Batch 1428 Loss: 3.8098
  Batch 1432 Loss: 4.2713
  Batch 1436 Loss: 4.1509
  Batch 1440 Loss: 4.0280
  Batch 1444 Loss: 5.5068
  Batch 1448 Loss: 4.1288
  Batch 1452 Loss: 4.8424
  Batch 1456 Loss: 4.2920
  Batch 1460 Loss: 3.6775
  Batch 1464 Loss: 4.5025
  Batch 1468 Loss: 3.9900
  Batch 1472 Loss: 4.5675
  Batch 1476 Loss: 4.1899
  Batch 1480 Loss: 4.8854
  Batch 1484 Loss: 4.5450
  Batch 1488 Loss: 4.2016
  Batch 1492 Loss: 3.5841
  Batch 1496 Loss: 4.2395
  Batch 1500 Loss: 4.0287
  Batch 1504 Loss: 3.7135
  Batch 1508 Loss: 4.2568
  Batch 1512 Loss: 4.1448
  Batch 1516 Loss: 4.6382
  Batch 1520 Loss: 3.8965
  Batch 1524 Loss: 3.9707
  Batch 1528 Loss: 4.4064
  Batch 1532 Loss: 4.6356
  Batch 1536 Loss: 3.8113
  Batch 1540 Loss: 4.1050
  Batch 1544 Loss: 4.2779
  Batch 1548 Loss: 4.4296
  Batch 1552 Loss: 4.3926
  Batch 1556 Loss: 3.9268
  Batch 1560 Loss: 3.7789
  Batch 1564 Loss: 3.9144
  Batch 1568 Loss: 3.9766
  Batch 1572 Loss: 4.4551
  Batch 1576 Loss: 3.6298
  Batch 1580 Loss: 4.0214
  Batch 1584 Loss: 3.8783
  Batch 1588 Loss: 4.6343
  Batch 1592 Loss: 3.9024
  Batch 1596 Loss: 3.9984
  Batch 1600 Loss: 4.0297
  Batch 1604 Loss: 3.8571
  Batch 1608 Loss: 3.6722
  Batch 1612 Loss: 4.1402
  Batch 1616 Loss: 4.3465
  Batch 1620 Loss: 4.3884
  Batch 1624 Loss: 4.6158
  Batch 1628 Loss: 3.9578
  Batch 1632 Loss: 3.9689
  Batch 1636 Loss: 3.7876
  Batch 1640 Loss: 4.4988
  Batch 1644 Loss: 4.3098
  Batch 1648 Loss: 4.3277
  Batch 1652 Loss: 4.7719
  Batch 1656 Loss: 3.8247
  Batch 1660 Loss: 3.9915
  Batch 1664 Loss: 3.9461
  Batch 1668 Loss: 4.5934
  Batch 1672 Loss: 3.9248
  Batch 1676 Loss: 4.1823
  Batch 1680 Loss: 3.6368
  Batch 1684 Loss: 3.3317
  Batch 1688 Loss: 3.4795
  Batch 1692 Loss: 4.4925
  Batch 1696 Loss: 3.6322
  Batch 1700 Loss: 4.1649
  Batch 1704 Loss: 3.6306
  Batch 1708 Loss: 3.6762
  Batch 1712 Loss: 4.4090
  Batch 1716 Loss: 3.5503
  Batch 1720 Loss: 3.0405
  Batch 1724 Loss: 3.8543
  Batch 1728 Loss: 3.4782
  Batch 1732 Loss: 4.3627
  Batch 1736 Loss: 4.9865
  Batch 1740 Loss: 3.8078
  Batch 1744 Loss: 3.7691
  Batch 1748 Loss: 3.7955
  Batch 1752 Loss: 3.2289
  Batch 1756 Loss: 3.8099
  Batch 1760 Loss: 4.0517
  Batch 1764 Loss: 3.3378
  Batch 1768 Loss: 3.6474
  Batch 1772 Loss: 3.4180
  Batch 1776 Loss: 4.2207
  Batch 1780 Loss: 3.9344
  Batch 1784 Loss: 3.5996
  Batch 1788 Loss: 4.2412
  Batch 1792 Loss: 4.2568
  Batch 1796 Loss: 3.8079
  Batch 1800 Loss: 4.3535
  Batch 1804 Loss: 3.6857
  Batch 1808 Loss: 4.2436
  Batch 1812 Loss: 4.0338
  Batch 1816 Loss: 4.0059
  Batch 1820 Loss: 4.0543
  Batch 1824 Loss: 3.7459
  Batch 1828 Loss: 3.3827
  Batch 1832 Loss: 3.6660
  Batch 1836 Loss: 3.6905
  Batch 1840 Loss: 3.5595
  Batch 1844 Loss: 3.2194
  Batch 1848 Loss: 3.9730
  Batch 1852 Loss: 4.8177
  Batch 1856 Loss: 3.9907
  Batch 1860 Loss: 4.0631
  Batch 1864 Loss: 3.8496
  Batch 1868 Loss: 4.0765
  Batch 1872 Loss: 3.2588
  Batch 1876 Loss: 3.8395
  Batch 1880 Loss: 4.0855
  Batch 1884 Loss: 3.5388
  Batch 1888 Loss: 3.3980
  Batch 1892 Loss: 3.5575
  Batch 1896 Loss: 4.0439
  Batch 1900 Loss: 3.7793
  Batch 1904 Loss: 4.1333
  Batch 1908 Loss: 4.2462
  Batch 1912 Loss: 3.5766
  Batch 1916 Loss: 3.8085
  Batch 1920 Loss: 4.0716
  Batch 1924 Loss: 3.9434
  Batch 1928 Loss: 3.8213
  Batch 1932 Loss: 3.6863
  Batch 1936 Loss: 3.8332
  Batch 1940 Loss: 3.4401
  Batch 1944 Loss: 3.6344
  Batch 1948 Loss: 3.5397
  Batch 1952 Loss: 4.1980
  Batch 1956 Loss: 4.2441
  Batch 1960 Loss: 3.6824
  Batch 1964 Loss: 3.6820
  Batch 1968 Loss: 3.9760
  Batch 1972 Loss: 3.7951
  Batch 1976 Loss: 3.3774
  Batch 1980 Loss: 3.2101
  Batch 1984 Loss: 4.4440
  Batch 1988 Loss: 3.7720
  Batch 1992 Loss: 4.1191
  Batch 1996 Loss: 4.0508
  Batch 2000 Loss: 3.3743
  Batch 2004 Loss: 3.6075
  Batch 2008 Loss: 3.8158
  Batch 2012 Loss: 3.7186
  Batch 2016 Loss: 3.4008
  Batch 2020 Loss: 3.8917
  Batch 2024 Loss: 3.8538
  Batch 2028 Loss: 3.8531
  Batch 2032 Loss: 3.6394
  Batch 2036 Loss: 4.3510
  Batch 2040 Loss: 3.9536
  Batch 2044 Loss: 3.7628
  Batch 2048 Loss: 4.1219
  Batch 2052 Loss: 3.6687
  Batch 2056 Loss: 3.1963
  Batch 2060 Loss: 3.6839
  Batch 2064 Loss: 3.3463
  Batch 2068 Loss: 3.4026
  Batch 2072 Loss: 3.3713
  Batch 2076 Loss: 3.7832
  Batch 2080 Loss: 3.5354
  Batch 2084 Loss: 3.8965
  Batch 2088 Loss: 3.3708
  Batch 2092 Loss: 4.2368
  Batch 2096 Loss: 3.3321
  Batch 2100 Loss: 3.4992
  Batch 2104 Loss: 4.3703
  Batch 2108 Loss: 4.0315
  Batch 2112 Loss: 4.1576
  Batch 2116 Loss: 3.2268
  Batch 2120 Loss: 3.1006
  Batch 2124 Loss: 3.8748
  Batch 2128 Loss: 3.6931
  Batch 2132 Loss: 3.5964
  Batch 2136 Loss: 3.7194
  Batch 2140 Loss: 3.2600
  Batch 2144 Loss: 3.5777
  Batch 2148 Loss: 4.1432
  Batch 2152 Loss: 3.8669
  Batch 2156 Loss: 3.7935
  Batch 2160 Loss: 3.8264
  Batch 2164 Loss: 2.7455
  Batch 2168 Loss: 4.1140
  Batch 2172 Loss: 3.4183
  Batch 2176 Loss: 3.3976
  Batch 2180 Loss: 3.2324
  Batch 2184 Loss: 2.8226
  Batch 2188 Loss: 3.8150
  Batch 2192 Loss: 3.8814
  Batch 2196 Loss: 3.6897
  Batch 2200 Loss: 3.9233
  Batch 2204 Loss: 3.7002
  Batch 2208 Loss: 3.4744
  Batch 2212 Loss: 3.9136
  Batch 2216 Loss: 4.1834
  Batch 2220 Loss: 3.8652
  Batch 2224 Loss: 3.1816
  Batch 2228 Loss: 3.3171
  Batch 2232 Loss: 3.5090
  Batch 2236 Loss: 4.2970
  Batch 2240 Loss: 3.5382
  Batch 2244 Loss: 3.5872
  Batch 2248 Loss: 3.4737
  Batch 2252 Loss: 3.7741
  Batch 2256 Loss: 4.8190
  Batch 2260 Loss: 4.8107
  Batch 2264 Loss: 3.2290
  Batch 2268 Loss: 3.5184
  Batch 2272 Loss: 3.3851
  Batch 2276 Loss: 4.5504
  Batch 2280 Loss: 3.3449
  Batch 2284 Loss: 3.1884
  Batch 2288 Loss: 3.5770
  Batch 2292 Loss: 3.7986
  Batch 2296 Loss: 4.8139
  Batch 2300 Loss: 3.4731
  Batch 2304 Loss: 3.6993
  Batch 2308 Loss: 3.5134
  Batch 2312 Loss: 3.9637
  Batch 2316 Loss: 3.8105
  Batch 2320 Loss: 3.2741
  Batch 2324 Loss: 4.2083
  Batch 2328 Loss: 3.8328
  Batch 2332 Loss: 3.3039
  Batch 2336 Loss: 3.7531
  Batch 2340 Loss: 3.7078
  Batch 2344 Loss: 3.8142
  Batch 2348 Loss: 4.3934
  Batch 2352 Loss: 3.1177
  Batch 2356 Loss: 3.2643
  Batch 2360 Loss: 3.4586
  Batch 2364 Loss: 3.6036
  Batch 2368 Loss: 3.3960
  Batch 2372 Loss: 3.5170
  Batch 2376 Loss: 3.8102
  Batch 2380 Loss: 3.1440
  Batch 2384 Loss: 4.2017
  Batch 2388 Loss: 3.8320
  Batch 2392 Loss: 3.6474
  Batch 2396 Loss: 4.2190
  Batch 2400 Loss: 3.6539
  Batch 2404 Loss: 3.9861
  Batch 2408 Loss: 3.6211
  Batch 2412 Loss: 3.8418
  Batch 2416 Loss: 3.2478
  Batch 2420 Loss: 3.6523
  Batch 2424 Loss: 3.6001
  Batch 2428 Loss: 4.1817
  Batch 2432 Loss: 4.4612
  Batch 2436 Loss: 3.4678
  Batch 2440 Loss: 3.3086
  Batch 2444 Loss: 3.8213
  Batch 2448 Loss: 3.0348
  Batch 2452 Loss: 3.6935
  Batch 2456 Loss: 3.4609
  Batch 2460 Loss: 3.6910
  Batch 2464 Loss: 4.0219
  Batch 2468 Loss: 3.5262
  Batch 2472 Loss: 3.5753
  Batch 2476 Loss: 3.5023
  Batch 2480 Loss: 3.9502
  Batch 2484 Loss: 4.2079
  Batch 2488 Loss: 3.6938
  Batch 2492 Loss: 4.3330
  Batch 2496 Loss: 3.7101
  Batch 2500 Loss: 4.0269
  Batch 2504 Loss: 3.6801
  Batch 2508 Loss: 3.4481
  Batch 2512 Loss: 3.7767
  Batch 2516 Loss: 3.5716
  Batch 2520 Loss: 3.6706
  Batch 2524 Loss: 3.4787
  Batch 2528 Loss: 3.2537
  Batch 2532 Loss: 3.1927
  Batch 2536 Loss: 4.6273
  Batch 2540 Loss: 3.5964
  Batch 2544 Loss: 3.9498
  Batch 2548 Loss: 3.5908
  Batch 2552 Loss: 3.8913
  Batch 2556 Loss: 3.6452
  Batch 2560 Loss: 3.8489
  Batch 2564 Loss: 3.5892
  Batch 2568 Loss: 3.4706
  Batch 2572 Loss: 3.4824
  Batch 2576 Loss: 3.4876
  Batch 2580 Loss: 3.7015
  Batch 2584 Loss: 3.8748
  Batch 2588 Loss: 4.1390
  Batch 2592 Loss: 4.5085
  Batch 2596 Loss: 3.6689
  Batch 2600 Loss: 3.4259
  Batch 2604 Loss: 3.5061
  Batch 2608 Loss: 3.8507
  Batch 2612 Loss: 3.8878
  Batch 2616 Loss: 4.1118
  Batch 2620 Loss: 4.5140
  Batch 2624 Loss: 3.9793
  Batch 2628 Loss: 3.3508
  Batch 2632 Loss: 3.6461
  Batch 2636 Loss: 3.0215
  Batch 2640 Loss: 3.8688
  Batch 2644 Loss: 3.8925
  Batch 2648 Loss: 3.1139
  Batch 2652 Loss: 3.1954
  Batch 2656 Loss: 4.0007
  Batch 2660 Loss: 3.1435
  Batch 2664 Loss: 3.8396
  Batch 2668 Loss: 4.0070
  Batch 2672 Loss: 4.1663
  Batch 2676 Loss: 3.7572
  Batch 2680 Loss: 3.6417
  Batch 2684 Loss: 3.3204
  Batch 2688 Loss: 3.8300
  Batch 2692 Loss: 4.4571
  Batch 2696 Loss: 3.6734
  Batch 2700 Loss: 3.1885
  Batch 2704 Loss: 3.9062
  Batch 2708 Loss: 3.5683
  Batch 2712 Loss: 4.3838
  Batch 2716 Loss: 4.0721
  Batch 2720 Loss: 3.3508
  Batch 2724 Loss: 4.0851
  Batch 2728 Loss: 2.8192
  Batch 2732 Loss: 3.5259
  Batch 2736 Loss: 3.2098
  Batch 2740 Loss: 3.9591
  Batch 2744 Loss: 2.9902
  Batch 2748 Loss: 3.5454
  Batch 2752 Loss: 3.3661
  Batch 2756 Loss: 3.9811
  Batch 2760 Loss: 3.4002
  Batch 2764 Loss: 3.3719
  Batch 2768 Loss: 3.4386
  Batch 2772 Loss: 3.7804
  Batch 2776 Loss: 3.9782
  Batch 2780 Loss: 3.5765
  Batch 2784 Loss: 3.5302
  Batch 2788 Loss: 3.5882
  Batch 2792 Loss: 2.9332
  Batch 2796 Loss: 3.4995
  Batch 2800 Loss: 3.5158
  Batch 2804 Loss: 3.3259
  Batch 2808 Loss: 3.4084
  Batch 2812 Loss: 3.9437
  Batch 2816 Loss: 3.5070
  Batch 2820 Loss: 3.6356
  Batch 2824 Loss: 3.5219
  Batch 2828 Loss: 3.5537
  Batch 2832 Loss: 3.4616
  Batch 2836 Loss: 3.7150
  Batch 2840 Loss: 3.5430
  Batch 2844 Loss: 4.2664
  Batch 2848 Loss: 3.2407
  Batch 2852 Loss: 3.3297
  Batch 2856 Loss: 3.4510
